id;bps_nama_kabupaten_kota;bps_kode_kecamatan;bps_nama_kecamatan;bps_kode_desa_kelurahan;bps_desa_kelurahan;kemendagri_kode_kecamatan;kemendagri_nama_kecamatan;KODE_KD;kemendagri_nama_desa_kelurahan;jumlah_kk;semester;tahun
1;KOTA BANDUNG;3273180;ANDIR;3273180001;CAMPAKA;32.73.05;ANDIR;32.73.05.1006;CAMPAKA;5420;1;2017
2;KOTA BANDUNG;3273180;ANDIR;3273180005;CIROYOM;32.73.05;ANDIR;32.73.05.1003;CIROYOM;6044;1;2017
3;KOTA BANDUNG;3273180;ANDIR;3273180004;DUNGUS CARIANG;32.73.05;ANDIR;32.73.05.1002;DUNGUS CARIANG;6028;1;2017
4;KOTA BANDUNG;3273180;ANDIR;3273180003;GARUDA;32.73.05;ANDIR;32.73.05.1005;GARUDA;3361;1;2017
5;KOTA BANDUNG;3273180;ANDIR;3273180006;KEBON JERUK;32.73.05;ANDIR;32.73.05.1004;KEBON JERUK;4479;1;2017
6;KOTA BANDUNG;3273180;ANDIR;3273180002;MALEBER;32.73.05;ANDIR;32.73.05.1001;MALEBER;6370;1;2017
7;KOTA BANDUNG;3273141;ANTAPANI;3273141001;ANTAPANI KIDUL;32.73.20;ANTAPANI;32.73.20.1005;ANTAPANI KIDUL;7339;1;2017
8;KOTA BANDUNG;3273141;ANTAPANI;3273141004;ANTAPANI KULON;32.73.20;ANTAPANI;32.73.20.1001;ANTAPANI KULON;3146;1;2017
9;KOTA BANDUNG;3273141;ANTAPANI;3273141002;ANTAPANI TENGAH;32.73.20;ANTAPANI;32.73.20.1004;ANTAPANI TENGAH;6877;1;2017
10;KOTA BANDUNG;3273141;ANTAPANI;3273141003;ANTAPANI WETAN;32.73.20;ANTAPANI;32.73.20.1006;ANTAPANI WETAN;5315;1;2017
11;KOTA BANDUNG;3273130;ARCAMANIK;3273130002;CISARANTEN BINA HARAPAN;32.73.24;ARCAMANIK;32.73.24.1002;CISARANTEN BINA HARAPAN;3553;1;2017
12;KOTA BANDUNG;3273130;ARCAMANIK;3273130001;CISARANTEN KULON;32.73.24;ARCAMANIK;32.73.24.1003;CISARANTEN KULON;6414;1;2017
13;KOTA BANDUNG;3273130;ARCAMANIK;3273130005;CISARANTEN ENDAH;32.73.24;ARCAMANIK;32.73.24.1004;CISARANTEN ENDAH;5474;1;2017
14;KOTA BANDUNG;3273130;ARCAMANIK;3273130003;SUKAMISKIN;32.73.24;ARCAMANIK;32.73.24.1001;SUKAMISKIN;6340;1;2017
15;KOTA BANDUNG;3273050;ASTANAANYAR;3273050005;CIBADAK;32.73.10;ASTANA ANYAR;32.73.10.1005;CIBADAK;4255;1;2017
16;KOTA BANDUNG;3273050;ASTANAANYAR;3273050006;KARANG ANYAR;32.73.10;ASTANA ANYAR;32.73.10.1003;KARANGANYAR;2328;1;2017
17;KOTA BANDUNG;3273050;ASTANAANYAR;3273050001;KARASAK;32.73.10;ASTANA ANYAR;32.73.10.1001;KARASAK;4162;1;2017
18;KOTA BANDUNG;3273050;ASTANAANYAR;3273050003;NYENGSERET;32.73.10;ASTANA ANYAR;32.73.10.1002;NYENGSERET;3745;1;2017
19;KOTA BANDUNG;3273050;ASTANAANYAR;3273050004;PANJUNAN;32.73.10;ASTANA ANYAR;32.73.10.1004;PANJUNAN;2308;1;2017
20;KOTA BANDUNG;3273050;ASTANAANYAR;3273050002;PELINDUNG HEWAN;32.73.10;ASTANA ANYAR;32.73.10.1006;PELINDUNG HEWAN;5972;1;2017
21;KOTA BANDUNG;3273020;BABAKAN CIPARAY;3273020005;BABAKAN;32.73.03;BABAKAN CIPARAY;32.73.03.1002;BABAKAN;8712;1;2017
22;KOTA BANDUNG;3273020;BABAKAN CIPARAY;3273020004;BABAKAN CIPARAY;32.73.03;BABAKAN CIPARAY;32.73.03.1001;BABAKAN CIPARAY;9221;1;2017
23;KOTA BANDUNG;3273020;BABAKAN CIPARAY;3273020002;CIRANGRANG;32.73.03;BABAKAN CIPARAY;32.73.03.1006;CIRANGRANG;3231;1;2017
